iter	MAPE	RMSE
0	1.302232257	2014516.705
1	1.150341916	1778841.063
2	1.019500998	1592629.91
3	0.9081806327	1419816.117
4	0.8300676125	1273800.447
5	0.7414965285	1147408.737
6	0.6740940828	1042293.717
7	0.6186087445	952982.2868
8	0.5675198704	884764.1184
9	0.5145414563	826197.0202
10	0.4725461872	778132.2575
11	0.4358934491	730783.18
12	0.402286837	695230.4985
13	0.37436611	666200.6346
14	0.3582252917	639680.7366
15	0.3325502651	618075.6115
16	0.310545603	600637.559
17	0.2900677329	587615.982
18	0.2772826656	573040.5237
19	0.265931808	562972.6317
20	0.2539675505	551143.0268
21	0.2440977913	542687.774
22	0.2341931624	534382.1718
23	0.2302903409	528294.6874
24	0.2213948457	522779.5568
25	0.2168027215	517087.467
26	0.2117422752	509219.7917
27	0.2074521277	501865.8654
28	0.2035129907	495882.4174
29	0.201172724	491921.0892
30	0.1979199116	486367.8207
31	0.1949862626	482605.9278
32	0.1928879578	479108.2159
33	0.1908801408	474410.3697
34	0.1873579965	470543.2282
35	0.1855056659	468642.4253
36	0.1817086442	466316.1356
37	0.1796983535	464348.2842
38	0.1773232955	461954.3608
39	0.175770492	459334.5407
40	0.1737624014	457486.6168
41	0.1736208416	455724.3791
42	0.1724607831	454066.7911
43	0.1714194132	452333.2429
44	0.1697569051	450417.1607
45	0.1679532172	447922.5968
46	0.1662789042	445699.512
47	0.1661674444	444645.6697
48	0.1647604737	441338.4239
49	0.1638654309	439859.0173
50	0.1628490889	437524.7281
51	0.1621408836	435376.9702
52	0.1618074248	433405.0172
53	0.1610038646	432077.7604
54	0.1598934365	430282.509
55	0.1588107904	428692.5785
56	0.1579634073	426910.2658
57	0.1569875652	425278.5919
58	0.156287314	423895.0046
59	0.1541936633	422460.7321
60	0.1536373071	421144.9856
61	0.1527630142	419948.648
62	0.1514811159	418095.2828
63	0.1505853404	417166.2014
64	0.1503976342	415056.3606
65	0.1491267891	414002.9763
66	0.148502266	412856.1695
67	0.1477484493	411629.8621
68	0.1465986697	410056.1494
69	0.1460642509	408894.0846
70	0.1453371169	407597.0385
71	0.1447010165	406594.0532
72	0.1427528926	404502.6202
73	0.1422809276	403181.3015
74	0.1422670343	401896.0174
75	0.1421681452	401476.7703
76	0.142035459	400603.4821
77	0.141279818	399670.7213
78	0.1407959727	398887.7105
79	0.139307309	397892.7853
80	0.1387001625	396813.7821
81	0.1382548636	395273.351
82	0.137997301	394755.5139
83	0.1373751788	393965.4627
84	0.1365002978	392989.3049
85	0.1362528933	391706.7481
86	0.1357730366	390874.4431
87	0.1356739606	389721.3056
88	0.1353474824	388959.0802
89	0.1350035219	387405.6263
90	0.1346350669	385796.3504
91	0.1343897735	385194.6401
92	0.1341360062	384616.2159
93	0.1339296155	384072.3251
94	0.1334440265	382309.3027
95	0.1331379947	381194.2207
96	0.133073196	380607.0284
97	0.1328630832	379361.6088
98	0.1327849679	378784.2412
99	0.1325702382	378093.4939
100	0.1321091623	377165.4159
101	0.1319127534	376563.3652
102	0.1313697002	375784.3258
103	0.1303308799	375103.0646
104	0.1296487973	374575.4034
105	0.1292848278	373465.6102
106	0.1292075174	373121.5915
107	0.1287126674	372545.9771
108	0.1282666787	371310.0903
109	0.1281338795	370243.3773
110	0.1272957722	369209.8017
111	0.1270626597	368299.9546
112	0.1268889412	367677.5122
113	0.1267468426	367242.6212
114	0.1263272858	366646.0344
115	0.1261660994	365439.0959
116	0.1258637662	364922.289
117	0.1259295168	364349.09
118	0.1257533084	363981.4598
119	0.1255136569	363676.1524
120	0.1252575987	362580.0748
121	0.1252385438	362086.6282
122	0.1250190684	361457.3015
123	0.1247744985	360808.8702
124	0.1247165932	360564.0728
125	0.1242701879	360034.6616
126	0.1236590666	359389.3801
127	0.1232704939	358523.1535
128	0.1230519161	357753.8471
129	0.1230781785	357542.3095
130	0.1229476384	357263.0056
131	0.1226405661	356614.6522
132	0.122354798	355587.7643
133	0.1222700262	355341.2673
134	0.1217246261	354998.4294
135	0.1216194218	354079.3986
136	0.1215007628	353723.52
137	0.1208449144	353098.6828
138	0.1205920817	352301.8668
139	0.1204388129	351547.3217
140	0.1203678974	351144.2197
141	0.1204698133	350956.1484
142	0.1198574991	350161.6383
143	0.1198318467	349977.2027
144	0.1195616013	349319.7247
145	0.1185015868	348547.1026
146	0.1184422357	348130.5791
147	0.1182386733	347294.2855
148	0.1179078309	346957.0646
149	0.117753889	346345.9197
150	0.1173576149	346092.8916
151	0.1166981656	345459.9906
152	0.1160652828	344576.1311
153	0.1158275693	344090.3705
154	0.1158763396	342781.8496
155	0.1157563376	342545.3726
156	0.1156597763	342344.6371
157	0.115044126	341764.2571
158	0.1151208138	340906.4587
159	0.1149550191	340590.6609
160	0.114809639	340368.0528
161	0.1146545953	339873.1058
162	0.1143759273	339589.8193
163	0.1141025862	338843.4047
164	0.1138956102	338258.0127
165	0.1138251522	337682.1271
166	0.1132138902	337150.0923
167	0.1130471431	336466.0373
168	0.1127821398	335618.4732
169	0.1125862125	335001.6242
170	0.1124995633	334513.9152
171	0.112405741	334399.214
172	0.1121299862	334208.3214
173	0.1121049627	332837.0752
174	0.1117102	332514.9415
175	0.1117081311	332455.2552
176	0.1115233551	331968.12
177	0.1112942038	331449.2849
178	0.111257624	331295.6765
179	0.1111354824	331020.6467
180	0.1107616137	330423.6019
181	0.1107764821	329829.4716
182	0.1104122571	329185.8454
183	0.1101089905	329056.0984
184	0.1100493009	328696.3293
185	0.1098512065	328447.5125
186	0.1094856898	327672.7437
187	0.1091300075	327441.2512
188	0.1088977259	326999.7601
189	0.1089596802	326759.8948
190	0.1088373707	326467.7254
191	0.1083751757	325744.7573
192	0.1080445664	325479.6938
193	0.1079198195	324928.5648
194	0.1076534048	324506.7191
195	0.1077648538	324311.3446
196	0.1076408425	323743.2988
197	0.1076715529	323259.4365
198	0.1074389207	323013.1047
199	0.1073276346	322350.4629
200	0.1069826921	321949.6408
201	0.106963984	321701.9493
202	0.1069570236	321419.1888
203	0.1067919949	321093.8187
204	0.1067085459	320686.5328
205	0.1062562651	320329.4277
206	0.1060835338	320067.7324
207	0.1059743174	319734.442
208	0.1058085708	319349.5128
209	0.105771123	319118.761
210	0.1056564846	318886.634
211	0.1052453172	318562.9157
212	0.104781129	318263.3642
213	0.1047274231	317924.0216
214	0.1044849264	317723.9444
215	0.1044397031	317544.6158
216	0.1044155727	317378.1987
217	0.104408744	317174.0695
218	0.1042427215	316699.0757
219	0.1040233429	316405.5279
220	0.1037750062	315853.7819
221	0.1036513337	315224.9133
222	0.1035938795	315050.4519
223	0.1034973955	314850.0749
224	0.103438659	314707.1131
225	0.1033233575	314357.835
226	0.1029985318	314013.2314
227	0.1029783176	313822.2879
228	0.10265014	313368.7878
229	0.1025132818	313163.0641
230	0.1022335453	312717.3485
231	0.1021624254	312530.4641
232	0.1021295138	312281.794
233	0.101909285	312103.8597
234	0.1018848483	311770.8668
235	0.101837	311570.359
236	0.1017196146	311399.3918
237	0.1012255132	311124.1127
238	0.1010372253	310848.8142
239	0.1008691873	310550.2765
240	0.1008733865	310496.4889
241	0.1006688727	310303.6238
242	0.1004385171	310055.776
243	0.1004468004	309779.3715
244	0.1004213909	309185.3664
245	0.1003044479	308968.8036
246	0.1002133232	308590.9918
247	0.1000736531	308240.6832
248	0.09997847169	308074.7364
249	0.09982592081	307843.4406
250	0.09985628663	307636.5604
251	0.09985974947	307290.0661
252	0.09977589261	307170.3877
253	0.09961565759	306913.9201
254	0.09945572957	306597.6384
255	0.09935508357	306241.7917
256	0.09928619336	305965.864
257	0.09914855832	305462.1238
258	0.09881935286	305202.3737
259	0.09872405874	304944.0123
260	0.0986657761	304778.5513
261	0.09859682044	304384.6596
262	0.09855485544	304170.4662
263	0.09834446152	303944.1102
264	0.09823132135	303600.1757
265	0.09822587796	303418.9369
266	0.09812295395	303220.5893
267	0.09808301268	302997.6999
268	0.09797654952	302789.8479
269	0.09784713777	302476.472
270	0.09781324789	302414.3738
271	0.09777476182	302284.8895
272	0.09760695575	301968.2815
273	0.09711734285	301696.3162
274	0.09712071944	301531.7864
275	0.09701968646	301374.7166
276	0.09699678675	301131.0688
277	0.09691830252	300774.1779
278	0.09690819552	300720.2092
279	0.0968821613	300182.6849
280	0.09671130974	299992.8436
281	0.0966084204	299828.7484
282	0.09653728498	299605.2819
283	0.09612731661	299496.5314
284	0.09594305871	299231.8098
285	0.095763717	299125.2857
286	0.09566139856	298820.2405
287	0.09571297257	298608.5345
288	0.09535548748	298429.6354
289	0.09534031824	298335.9498
290	0.09511414839	298114.0083
291	0.09495321226	297762.4962
292	0.09484100908	297525.8811
293	0.09477624017	297314.3203
294	0.09467572063	296803.6172
295	0.09464989721	296478.8486
296	0.09443812108	296367.7371
297	0.09437773369	296243.324
298	0.09436945722	296128.0175
299	0.09434564371	296016.3465
300	0.09422475424	295732.3871
301	0.09416829883	295481.452
302	0.09406263411	295314.4974
303	0.09387841651	295162.2659
304	0.09365607638	294886.4261
305	0.09340098848	294654.4797
306	0.09340638169	294484.0553
307	0.09317780893	294312.8878
308	0.09309306888	294157.309
309	0.09304940136	293276.3515
310	0.09304652402	292846.0772
311	0.09303792262	292647.1051
312	0.09300097248	292602.7972
313	0.09295818245	292549.1622
314	0.09275907906	292381.0263
315	0.09261035389	292213.0084
316	0.09256387878	292086.0635
317	0.09251392282	291942.9723
318	0.09248037806	291896.6993
319	0.0925117982	291767.6514
320	0.09225717934	291659.3978
321	0.09220713145	291614.5435
322	0.09213694618	291440.9372
323	0.0920774405	291204.0923
324	0.09202655352	290986.8508
325	0.09197459783	290818.2432
326	0.0918932652	290705.3935
327	0.09177794865	290560.427
328	0.09176436466	290436.458
329	0.09157217851	290310.3018
330	0.09141914806	290143.9417
331	0.09118218921	290012.0704
332	0.09096217137	289873.2159
333	0.09090877892	289584.5296
334	0.09088948703	289544.7054
335	0.09080949504	289312.3423
336	0.09079879268	289211.1919
337	0.09065236058	288848.7656
338	0.0906221066	288747.3785
339	0.09060019701	288598.0585
340	0.09054484667	288281.4511
341	0.09049733529	288129.5924
342	0.09046261233	287968.0232
343	0.09044979595	287938.0745
344	0.0900957505	287741.9884
345	0.09009526161	287552.5522
346	0.09007344235	287450.4314
347	0.08998026677	287355.5513
348	0.08984398153	287183.3427
349	0.08951326132	287072.3915
350	0.0892225984	286882.5237
351	0.08919971502	286717.3353
352	0.08907447205	286431.57
353	0.08904409851	286333.4531
354	0.08893221392	286092.9736
355	0.08888139799	286003.733
356	0.08873107831	285827.8402
357	0.08866644027	285523.881
358	0.08867776492	285447.461
359	0.08866176152	285385.3364
360	0.08858885291	285284.4753
361	0.08843218835	285092.5364
362	0.08840324325	284887.7419
363	0.088366165	284781.1516
364	0.08823457953	284541.6489
365	0.08817094466	284435.1116
366	0.08796766732	284331.7521
367	0.08792214791	284214.1297
368	0.08790142634	284185.6463
369	0.08779218705	284093.2606
370	0.08771477551	283898.5832
371	0.08764916871	283757.7231
372	0.08746077122	283579.3221
373	0.08723929064	283394.8397
374	0.08715711244	283257.7782
375	0.08700590674	283141.46
376	0.08696733025	283029.4095
377	0.08693890177	282816.2643
378	0.08694128014	282733.7101
379	0.08688312621	282591.3544
380	0.0868374398	282422.776
381	0.08681438841	282059.831
382	0.08672324694	281940.622
383	0.086721972	281826.0173
384	0.08663824534	281673.4227
385	0.08656697585	281529.162
386	0.08652218838	280870.6606
387	0.08644324533	280752.8039
388	0.0863654645	280535.8921
389	0.08629472505	280461.262
390	0.08627590916	280411.9494
391	0.08622394181	280365.1496
392	0.08613493489	280113.4354
393	0.0861126038	280014.6683
394	0.08609884748	279926.0744
395	0.08606722456	279770.7523
396	0.086058737	279629.6935
397	0.08595155176	279326.9204
398	0.08595946336	279080.9453
399	0.08595028345	279008.8222
400	0.08580120407	278844.8748
401	0.08573428483	278688.8427
402	0.08546185386	278565.5455
403	0.08543749762	278413.2332
404	0.08537558811	278322.9995
405	0.08539698429	278194.4429
406	0.0854008768	278034.5892
407	0.08538052445	277857.7973
408	0.08529448245	277665.001
409	0.08520140596	277604.0125
410	0.08517830934	277533.0506
411	0.08501708792	277350.916
412	0.08497179036	277271.2676
413	0.08489137282	277103.0449
414	0.08484506808	276928.2375
415	0.08476807209	276774.827
416	0.08466395608	276707.5403
417	0.08463424081	276469.2734
418	0.08452473992	276387.6025
419	0.08433943594	276283.5698
420	0.08427979816	276161.3657
421	0.08414799342	276067.359
422	0.08409867688	275914.0094
423	0.08410370312	275761.1807
424	0.08403111589	275588.7074
425	0.08391702148	275517.906
426	0.08393560379	275429.4288
427	0.08387947246	275376.6643
428	0.08385933884	275283.5263
429	0.08384361808	275223.8032
430	0.08377645734	275148.1518
431	0.08376326038	275047.8374
432	0.08373068952	274992.8132
433	0.08363047959	274772.6103
434	0.08362928452	274665.4598
435	0.08362313193	274536.2765
436	0.08357101408	274471.4739
437	0.08349534912	274309.5279
438	0.08344590319	273946.1539
439	0.08340566855	273807.9941
440	0.08326554325	273391.9839
441	0.08318087956	273296.4533
442	0.08306900406	273159.7339
443	0.08302071161	273031.0398
444	0.08293171932	272979.2198
445	0.08294620123	272777.509
446	0.08284665837	272721.627
447	0.08278939347	272585.1809
448	0.082690164	272480.7679
449	0.08257694612	272395.8995
450	0.08255742932	272293.3208
451	0.08249779788	272079.0523
452	0.08249628028	271960.991
453	0.08229961123	271881.0081
454	0.08227235746	271855.1867
455	0.0822117388	271676.2099
456	0.08203273616	271625.5933
457	0.08202415991	271556.1095
458	0.08193912526	271454.9297
459	0.08187233608	271376.8729
460	0.081875987	271311.6212
461	0.0817579998	271242.3598
462	0.08160450252	271153.4972
463	0.08157728508	271123.5534
464	0.08145693772	270963.5624
465	0.0814141642	270887.1793
466	0.08128498105	270652.1764
467	0.08127861102	270575.7689
468	0.08113610821	270507.9375
469	0.0810888957	270387.542
470	0.08101185478	270307.0618
471	0.0809918339	270281.6569
472	0.08095360833	270184.5298
473	0.08095357193	270098.685
474	0.08095079193	270035.8778
475	0.08090057305	269942.8482
476	0.080868552	269820.3028
477	0.08081457786	269779.9639
478	0.080778144	269617.1674
479	0.08069677704	269559.878
480	0.08059032832	269475.8705
481	0.08048976246	269318.9363
482	0.08050497342	269102.1784
483	0.08047983032	268893.8986
484	0.08044931901	268781.507
485	0.080453647	268636.0183
486	0.08040764431	268456.3571
487	0.08024428805	268379.4213
488	0.08019977271	268276.8919
489	0.0800933397	268241.5938
490	0.08006740108	268182.9604
491	0.08005975465	268097.678
492	0.07995352944	267881.8907
493	0.07994503444	267788.9387
494	0.07980332475	267752.3595
495	0.07956005051	267670.9749
496	0.07950548908	267548.3173
497	0.07936919818	267458.389
498	0.07935202463	267396.372
499	0.07935033702	267321.6925
500	0.07930679341	267185.4533
501	0.07928887275	267060.6907
502	0.07921233619	266951.2506
503	0.07920575235	266854.8776
504	0.07918789044	266763.3508
505	0.07913432964	266658.782
506	0.07911555559	266592.0758
507	0.0790406663	266444.4299
508	0.07901361308	266216.8158
509	0.07903395844	266186.8253
510	0.07897506773	266126.8498
511	0.07891575003	265987.7384
512	0.07892599411	265981.4685
513	0.07883254232	265897.1994
514	0.07880852585	265820.8733
515	0.07881484903	265697.5537
516	0.07879774622	265685.6641
517	0.0787719289	265644.8483
518	0.07873705729	265549.1017
519	0.07854283033	265400.4263
520	0.07853051349	265311.0272
521	0.07849624072	265265.8253
522	0.07844807658	264948.6813
523	0.07840993423	264902.6668
524	0.07838288365	264756.1586
525	0.07834987407	264731.0309
526	0.07826847502	264669.9614
527	0.07826353396	264545.2272
528	0.07819454653	264495.6878
529	0.07811785626	264403.313
530	0.07807682201	264248.1292
531	0.07806457462	264225.2485
532	0.07802795913	264171.9249
533	0.07801222286	264071.3762
534	0.07797978449	264026.7071
535	0.07794065327	263982.5924
536	0.077878637	263924.2426
537	0.07782387334	263882.1717
538	0.07781884422	263799.9218
539	0.0777890618	263738.6423
540	0.07774262505	263600.551
541	0.0776474617	263464.2231
542	0.07766400707	263239.788
543	0.07760777472	263161.479
544	0.07758484268	263036.997
545	0.07753837144	262977.9097
546	0.07751542416	262923.3957
547	0.0774908162	262886.0665
548	0.07748758934	262786.4442
549	0.07743587377	262743.906
550	0.07742010768	262656.5918
551	0.07740012888	262615.5871
552	0.07733884182	262531.9515
553	0.0773353833	262369.0296
554	0.07730556477	262223.3567
555	0.07723345603	262203.5924
556	0.07714903439	262148.6338
557	0.07710786385	262058.7041
558	0.07709912232	261909.5118
559	0.07702617894	261839.5783
560	0.07696611023	261718.6531
561	0.07698025755	261686.2316
562	0.0769478792	261614.7134
563	0.07688017772	261580.7272
564	0.0767757845	261519.8564
565	0.07673233931	261426.7892
566	0.0766815376	261358.4046
567	0.07664073746	261324.774
568	0.07660863795	261251.3999
569	0.07656051488	261122.054
570	0.07649806482	261083.9321
571	0.07645433748	260969.7905
572	0.07635351513	260917.3383
573	0.07633151787	260856.8968
574	0.07628805483	260687.0633
575	0.07622341734	260599.1245
576	0.07622999965	260467.3773
577	0.0761794374	260398.5373
578	0.07613638499	260328.3531
579	0.07611205384	260195.3112
580	0.07602845902	259868.6802
581	0.07601374731	259793.3454
582	0.07599454274	259739.971
583	0.07594415371	259701.4709
584	0.07591798193	259674.1199
585	0.0758697131	259623.949
586	0.07577650713	259553.6682
587	0.07573825928	259437.963
588	0.07573365121	259396.3922
589	0.07569325249	259353.2948
590	0.07567971002	259221.6617
591	0.07559233905	259195.6884
592	0.07559105136	259162.7534
593	0.07551143623	259126.801
594	0.07551160687	259072.6697
595	0.07550859212	258954.3591
596	0.07543609869	258899.6247
597	0.07539847755	258808.4351
598	0.07539065514	258730.662
599	0.07537670066	258613.3203
600	0.07534322018	258538.6198
601	0.07529246707	258487.1073
602	0.07527608663	258454.3577
603	0.07523584776	258361.4871
604	0.07521249561	258320.0024
605	0.07519464724	258295.6154
606	0.0751406931	258245.0247
607	0.0751546755	258187.7089
608	0.07509756042	258142.4764
609	0.07508573901	258123.5162
610	0.07501490485	258069.1304
611	0.07502317508	257983.4978
612	0.07503114624	257938.0433
613	0.07500988577	257848.0584
614	0.07502803219	257740.477
615	0.07496295043	257674.7618
616	0.0749175691	257598.4299
617	0.07488153787	257573.3522
618	0.07486508536	257436.9554
619	0.0748922301	257390.2287
620	0.07485805793	257347.1705
621	0.07482811183	257319.9699
622	0.07483657222	257302.2228
623	0.07483132378	257239.5127
624	0.07476238334	257160.7169
625	0.07475834644	257111.0469
626	0.07465456823	256960.3646
627	0.07461748939	256938.4571
628	0.07458458816	256913.6134
629	0.07452223978	256860.0573
630	0.07449029254	256800.0705
631	0.07438762426	256756.0242
632	0.07439233012	256703.6005
633	0.07439038246	256643.7761
634	0.07436475789	256492.4045
635	0.07434472675	256438.7278
636	0.07432044997	256187.83
637	0.07433513003	256127.1251
638	0.07420497234	256070.4956
639	0.07419577789	256027.5866
640	0.0741619402	255836.9822
641	0.07407413332	255803.4335
642	0.07406257884	255749.3975
643	0.07406646791	255674.1996
644	0.07404179158	255593.3082
645	0.07402908366	255558.5048
646	0.07401966707	255508.3157
647	0.07401248614	255475.5877
648	0.07400573156	255430.0891
649	0.07391461874	255275.6407
650	0.07384023714	255215.1937
651	0.07384644479	255060.5371
652	0.07385967306	254959.3868
653	0.07378375839	254891.7062
654	0.07378544575	254846.3097
655	0.07373720341	254791.6652
656	0.07371818989	254606.1787
657	0.07372222958	254545.9056
658	0.07367108332	254506.4716
659	0.07366139906	254453.0437
660	0.07363071184	254398.9524
661	0.07357686625	254327.0979
662	0.07356727597	254234.1285
663	0.0735516873	254165.3062
664	0.07352522926	254022.1548
665	0.07345192972	253953.5367
666	0.07339522591	253899.9705
667	0.07338903569	253827.2889
668	0.07337231328	253748.8814
669	0.07329562507	253657.2887
670	0.07332531806	253584.3492
671	0.07329637399	253519.34
672	0.07330207593	253467.5919
673	0.0732859412	253339.3759
674	0.07327931269	253282.2129
675	0.07325490923	253253.5903
676	0.07325429265	253223.8461
677	0.07322675326	253192.8771
678	0.07319210206	253120.9073
679	0.07318954446	253088.8268
680	0.07319756309	253004.9625
681	0.07317240756	252956.8158
682	0.07314162847	252849.8968
683	0.07304393741	252793.4521
684	0.07297984311	252772.1469
685	0.07294253358	252745.5513
686	0.07289588338	252710.5098
687	0.07285155819	252606.1265
688	0.07281550741	252578.9963
689	0.07278862694	252521.3697
690	0.07274216603	252449.6893
691	0.07271733627	252394.8201
692	0.07267515097	252360.451
693	0.07265426729	252275.0776
694	0.07261042274	252184.3911
695	0.07255472988	252135.5368
696	0.07255445073	252056.2331
697	0.07256172229	252005.568
698	0.07251482561	251962.025
699	0.07246217863	251841.5214
700	0.07238940567	251788.6762
701	0.07240541289	251705.612
702	0.07240453376	251634.8167
703	0.07239770092	251444.306
704	0.07239180482	251409.4136
705	0.07236619506	251324.3478
706	0.07234837844	251272.169
707	0.07228953536	251070.1753
708	0.0722551814	251038.352
709	0.07226795664	250966.8056
710	0.07218782164	250927.5347
711	0.07212007457	250861.7915
712	0.07210323667	250724.1593
713	0.07196573042	250634.6146
714	0.07187748854	250575.0726
715	0.0718376894	250546.0725
716	0.07178969292	250525.0773
717	0.07178293369	250480.5934
718	0.07175218233	250299.8537
719	0.07164862333	250269.718
720	0.07163872675	250187.0767
721	0.07162408324	250111.923
722	0.07161297858	250080.2333
723	0.07158316003	250019.9579
724	0.07151977716	249971.4479
725	0.07147293945	249916.0575
726	0.0714726142	249795.4517
727	0.07144994795	249765.095
728	0.07141359746	249713.1577
729	0.07142093057	249684.7886
730	0.07138432747	249612.0387
731	0.07137303051	249539.554
732	0.07127346136	249403.4899
733	0.07124708272	249344.1678
734	0.07122881586	249253.0748
735	0.07118884467	249164.2976
736	0.07118306472	249118.0649
737	0.07113831373	249065.7793
738	0.07112297194	249031.8171
739	0.07109993287	248982.4666
740	0.07105345555	248920.5381
741	0.07104081265	248856.5027
742	0.07099184978	248730.3951
743	0.07091891726	248697.5785
744	0.07088768221	248659.8212
745	0.07088008684	248599.9215
746	0.07085521339	248527.6062
747	0.07078986121	248468.7194
748	0.07072785396	248388.8525
749	0.07070283128	248333.411
750	0.07063286249	248192.7102
751	0.07057039124	248121.1335
752	0.07052254085	248023.7352
753	0.07050419088	247952.5749
754	0.070490667	247844.3509
755	0.07047959107	247751.567
