iter	Passed	Remaining
0	476	2384514
1	914	2286180
2	1120	1866845
3	1486	1856820
4	1685	1684299
5	2224	1851383
6	2501	1784550
7	2750	1716326
8	3000	1664167
9	3167	1580417
10	3461	1569827
11	3690	1534095
12	3927	1506794
13	4088	1455929
14	4240	1409311
15	4389	1367355
16	4636	1359082
17	4816	1333180
18	5372	1408507
19	5561	1384895
20	5740	1360957
21	6174	1397105
22	6385	1381669
23	6682	1385431
24	6830	1359297
25	7204	1378235
26	7576	1395419
27	7885	1400258
28	8393	1438737
29	8745	1448898
30	9164	1469034
31	9649	1498134
32	9907	1491159
33	10270	1500149
34	10569	1499309
35	11100	1530623
36	11343	1521557
37	11615	1516793
38	12005	1527144
39	12571	1558846
40	12975	1569453
41	13105	1547116
42	13469	1552722
43	13852	1560249
44	14341	1579123
45	14732	1586583
46	15097	1591043
47	15503	1599438
48	16007	1617401
49	16452	1628757
50	16998	1649506
51	17169	1633742
52	17669	1649218
53	18079	1655923
54	18505	1663809
55	18877	1666599
56	19476	1688962
57	19910	1696509
58	20494	1716357
59	21080	1735647
60	21521	1742568
61	21877	1742439
62	22328	1749804
63	22666	1748178
64	22959	1743141
65	23400	1749389
66	23762	1749525
67	24233	1757658
68	24697	1764976
69	25057	1764754
70	25526	1772116
71	25993	1779134
72	26149	1764937
73	26486	1763169
74	26822	1761372
75	27301	1768864
76	27755	1774571
77	28412	1792902
78	28963	1804159
79	29198	1795706
80	29740	1806069
81	29979	1798060
82	30539	1809193
83	31073	1818514
84	31598	1827117
85	31836	1819101
86	32562	1838858
87	32731	1827034
88	32911	1816028
89	33138	1807898
90	33641	1814781
91	33834	1804991
92	34249	1807130
93	34629	1807389
94	34863	1800058
95	35165	1796361
96	35686	1803846
97	35833	1792418
98	36333	1798684
99	36526	1789817
100	37101	1799618
101	37600	1805551
102	38116	1812199
103	38706	1822193
104	38981	1817273
105	39460	1821897
106	39768	1818576
107	40195	1820724
108	40673	1825101
109	40997	1822538
110	41619	1833143
111	42092	1837023
112	42454	1836060
113	42972	1841770
114	43523	1848818
115	44001	1852596
116	44416	1853724
117	44874	1856595
118	45270	1856851
119	45432	1847589
120	45862	1849274
121	46151	1845301
122	46648	1849633
123	47092	1851794
124	47649	1858320
125	47982	1856103
126	48299	1853242
127	48587	1849345
128	49022	1851078
129	49178	1842295
130	49543	1841446
131	50019	1844673
132	50452	1846249
133	50748	1842866
134	51381	1851645
135	52145	1864981
136	52413	1860471
137	52897	1863685
138	53655	1876392
139	54152	1879851
140	54722	1885801
141	55077	1884275
142	55878	1897912
143	56129	1892800
144	56702	1898545
145	57276	1904257
146	57705	1905060
147	58462	1916611
148	58939	1918897
149	59465	1922704
150	60038	1928007
151	60800	1939210
152	61293	1941751
153	62198	1957223
154	62872	1965271
155	63189	1962122
156	63623	1962595
157	64215	1967931
158	64751	1971456
159	65147	1970718
160	65588	1971324
161	66067	1973047
162	66306	1967641
163	66845	1971128
164	67843	1988016
165	68346	1990297
166	68965	1995879
167	69360	1994952
168	69916	1998625
169	70672	2007934
170	71140	2008997
171	71589	2009510
172	72283	2016822
